T 21F 21.5F 22F 22.2F 22.24F 22.3F 22.4F 22.5F 23F 21000F 21500F 22000F 22200F 22240F 22300F 22400F 22500F 23000F 
2.57661 0.020154 0.0243865 0.0276745 0.0284477 0.0285564 0.0286897 0.0288316 0.0288732 0.0277158 0.00810312 0.00979036 0.0111022 0.0114114 0.011455 0.0115085 0.0115659 0.0115833 0.0111277 
2.60163 0.0201807 0.0244377 0.0277462 0.028523 0.0286321 0.0287656 0.0289072 0.0289475 0.0277729 0.00799654 0.00966895 0.0109697 0.0112759 0.011319 0.0113719 0.0114282 0.011445 0.0109892 
2.62664 0.0200217 0.0242642 0.0275626 0.028336 0.0284444 0.0285769 0.0287168 0.0287555 0.0275745 0.00810948 0.00981281 0.0111382 0.0114497 0.0114935 0.0115471 0.0116041 0.0116205 0.0111523 
2.65166 0.0202173 0.0245203 0.0278671 0.0286507 0.0287604 0.0288943 0.0290349 0.0290727 0.0278643 0.00793195 0.00960543 0.0109081 0.0112139 0.0112568 0.0113093 0.0113647 0.0113803 0.0109162 
2.67667 0.0201916 0.0245084 0.0278673 0.0286527 0.0287623 0.0288961 0.029036 0.0290724 0.0278496 0.00793576 0.00961801 0.010928 0.0112351 0.0112781 0.0113306 0.0113858 0.0114009 0.01093 
2.70169 0.0203487 0.0247183 0.0281198 0.028914 0.0290247 0.0291596 0.0293 0.0293353 0.0280869 0.00786125 0.00953439 0.0108379 0.011143 0.0111857 0.0112377 0.0112923 0.0113067 0.0108345 
2.7267 0.0208369 0.0253302 0.0288296 0.0296456 0.0297592 0.0298973 0.0300405 0.0300753 0.028781 0.00798455 0.00969138 0.0110217 0.0113327 0.0113761 0.011429 0.0114842 0.0114983 0.0110124 
2.75172 0.0205512 0.0250027 0.0284711 0.0292787 0.0293909 0.0295272 0.0296679 0.0297008 0.0284077 0.00829348 0.0100751 0.0114642 0.0117885 0.0118336 0.0118886 0.0119456 0.0119597 0.0114479 
2.77674 0.0208288 0.0253604 0.0288928 0.0297143 0.0298282 0.0299663 0.0301083 0.0301402 0.0288129 0.00810154 0.00984902 0.0112123 0.0115301 0.0115742 0.0116279 0.0116834 0.0116966 0.0111906 
2.80175 0.0206107 0.025115 0.0286279 0.0294436 0.0295566 0.0296933 0.0298332 0.0298633 0.0285329 0.00818369 0.00995779 0.0113424 0.0116646 0.0117093 0.0117636 0.0118194 0.0118321 0.0113137 
2.82677 0.0207866 0.0253498 0.0289103 0.0297359 0.02985 0.0299879 0.0301284 0.0301574 0.0287984 0.00790154 0.00962171 0.0109648 0.0112771 0.0113203 0.0113727 0.0114264 0.0114381 0.0109314 
2.85178 0.020408 0.0249086 0.0284219 0.0292355 0.0293477 0.0294832 0.0296205 0.0296474 0.0282959 0.00798172 0.00972673 0.0110899 0.0114064 0.0114502 0.0115031 0.0115571 0.0115684 0.0110502 
